41917	iridium-NEXT
41918	iridium-NEXT
41919	iridium-NEXT
41920	iridium-NEXT
41921	iridium-NEXT
41922	iridium-NEXT
41923	iridium-NEXT
41924	iridium-NEXT
41925	iridium-NEXT
41926	iridium-NEXT
42803	iridium-NEXT
42804	iridium-NEXT
42805	iridium-NEXT
42806	iridium-NEXT
42807	iridium-NEXT
42808	iridium-NEXT
42809	iridium-NEXT
42810	iridium-NEXT
42811	iridium-NEXT
42812	iridium-NEXT
42955	iridium-NEXT
42956	iridium-NEXT
42957	iridium-NEXT
42958	iridium-NEXT
42959	iridium-NEXT
42960	iridium-NEXT
42961	iridium-NEXT
42962	iridium-NEXT
42963	iridium-NEXT
42964	iridium-NEXT
43070	iridium-NEXT
43071	iridium-NEXT
43072	iridium-NEXT
43073	iridium-NEXT
43074	iridium-NEXT
43075	iridium-NEXT
43076	iridium-NEXT
43077	iridium-NEXT
43078	iridium-NEXT
43079	iridium-NEXT
43249	iridium-NEXT
43250	iridium-NEXT
43251	iridium-NEXT
43252	iridium-NEXT
43253	iridium-NEXT
43254	iridium-NEXT
43255	iridium-NEXT
43256	iridium-NEXT
43257	iridium-NEXT
43258	iridium-NEXT
43478	iridium-NEXT
43479	iridium-NEXT
43480	iridium-NEXT
43481	iridium-NEXT
43482	iridium-NEXT
43569	iridium-NEXT
43570	iridium-NEXT
43571	iridium-NEXT
43572	iridium-NEXT
43573	iridium-NEXT
43574	iridium-NEXT
43575	iridium-NEXT
43576	iridium-NEXT
43577	iridium-NEXT
43578	iridium-NEXT
43922	iridium-NEXT
43923	iridium-NEXT
43924	iridium-NEXT
43925	iridium-NEXT
43926	iridium-NEXT
43927	iridium-NEXT
43928	iridium-NEXT
43929	iridium-NEXT
43930	iridium-NEXT
43931	iridium-NEXT
